$	dollar[s] ドル記号(通貨単位)
effluent	流出物,廃水;(湖・貯水池などからの)放流
effluvium	臭気,悪臭
efflux	(ガス・液体の)流出 / 流出物
effort	〈U〉〈C〉《しばしば複数形で》『努力』,骨折り / 〈C〉努力の成果,労作
effortless	努力をしない,骨を折らない;骨の折れない,容易な
effrontery	(…の)ずうずうしさ,厚かましさ《+『of』+『名』》,(…する)ずうずうしさ《+『to』 do》
effulgence	輝かしさ,光輝
effulgent	さん然と輝く,まばゆいばかりの
effusion	〈U〉流出,噴出;〈C〉流出物(量) / 〈C〉(感情・言葉などの,通例過剰な)吐露,ほとばしり
effusive	むやみに心情を吐露した
Eg.	Egypt / Egyptian
egad	やあ,いやはや!
egalitarian	平等主義の / 平等主義者
egalitarianism	平等主義
egg	『卵』,卵細胞 / 鳥の卵;(特に)鶏卵 / 《英話》《形容詞を伴って》(…な)やつ / 《俗》爆弾,手投げ弾 / 〈人〉‘を'扇動(激励)する;〈人〉‘を'そそのかして…させる《+『名』+『on to』 do》
egg custard	エッグカスタード(卵とミルクと砂糖を混ぜあわせた菓子)
egg roll	(中国料理の)春巻き
egg timer	(卵をゆでるときに使う)エッグタイマー,ゆで卵用時計
egg whisk	=eggbeater
egg-shaped	卵形の
eggbeater	卵泡立て器
eggcup	ゆで卵立て
egghead	知識人
eggnog	卵酒(卵・クリーム・砂糖・酒類(ブランデー,ラム,バーボン)などの入った飲み物)
eggplant	ナス
eggshell	卵の殻
egis	=aegis
eglantine	=sweetbriar
ego	〈U〉〈C〉自我;《しばしばEgo》主観 / 〈U〉《話》うぬぼれ,自尊心(conceit)
ego ideal	自我理想(個人が到達しようとする理想標準)
ego-trip	自我充足行為(自我・自負を満足させるための行為)
egocentric	自己中心の,自分本位の
egoism	利己主義;自分勝手 / うぬぼれ
egoist	利己主義者;自分勝手な人 / うぬぼれ屋
egoistic	利己的な;自分本位な / うぬぼれた
egoistical	=egoistic
egoistically	利己的に,自分勝手に
egotism	自己中心癖・自己中心・自己本位・うぬぼれ
egotist	自己中心主義者 / うぬぼれ屋
egotistic	自己中心の,自分本位の / うぬぼれの強い
egotistical	=egotistic
egregious	名だたる
egress	〈U〉《文》(…から)外へ出ること;外へ出る権利《+『from』+『名』》 / 〈C〉《文》(…からの)出口《+『from』+『名』》
egret	シラサギ,シラサギの羽毛 / (婦人帽などにつける)羽毛飾り
Egypt	『エジプト』(エジプトアラブ共和国(the Arab Republic of Egypt);首都はCairo)
Egyptian	エジプトの;エジプト人(語)の / 〈C〉エジプト人 / 〈U〉(古代の)エジプト語
eh	えっ(問い・疑い・驚き・ちゅうちょなど;また相手の同意を求めるときにも用いる)
EHF	extremely high frequency・極高周波・極々々超短波・極超短波・ミリ波・ミリメートル波
eider	〈C〉(またeider duck)(北欧沿岸に生息する)ケワタガモ / =eiderdown
eiderdown	〈U〉ケワタガモの綿毛 / 〈C〉(その綿毛を詰めた)羽根ぶとん
eidolon	幻・幽霊・幻想・理想像
Eiffel Tower	エッフェル塔
eight	〈C〉(数の)8;8の記号(8,VIIIなど) / 〈U〉8時,8分;8歳 / 〈U〉《複数扱い》8人,8個 / 〈C〉八つ(8人,8個)一組のもの;8人のボート選手 / 〈C〉(カードの)8の札;〈U〉(スケートの)8字形[滑走](the figure of eight) / 8の;8人の / 8個の;《補語にのみ用いて》8歳で
eight ball	エイトボール(8と書いてある玉突きの黒い玉)
eight track	(テープの)8音帯
eighteen	〈C〉(数の)18;18の記号(18,XVIIIなど) / 〈U〉(24時間制で)18時,18分;18歳 / 〈U〉《複数扱い》18人,18個 / 〈C〉18(18人,18個)一組のもの / 『18の』,18人の,18個の / 《補語にのみ用いて》18歳で
eighteenth	《the eighteenth》『第18の』,18番目の / 18分の1の / 《the ~》『第18』,18番目[のもの];(月の)18日 / 〈C〉18分の1
eightfold	8倍の,8重の / 8倍に,8重に
eighth	《the ~》『第8の』,8番目の / 8分の1の / 《the ~》『第8』,8番目[のもの];(月の)8日 / 〈C〉8分の1 / 〈C〉(音程の)8度,オクターブ
eighth note	8分音符(《英》quaver)
eightieth	《the ~》『第80の』,80番目の / 80分の1の / 《the ~》『第80』,80番目[のもの] / 〈C〉80分の1
eightsome	(スコットランドの)8人舞踊
eighty	〈C〉(数の)『80』,80の記号(80,LXXXなど) / 〈U〉80歳 / 〈U〉《複数抜い》80人,80個 / 《the eighties》(世紀の)80年代; / 『80の』,80人の,80個の;《補語にのみ用いて》80歳で
Einstein	アインシュタイン(『Albert~』;1879‐1955;物理学者;相対性原理を発見)
einsteinium	アインスタイニウム(放射性元素;化学記号は『Es』)
Eire	エール(アイルランド共和国(the Republic of Ireland)の旧称)
Eisenhower	アイゼンハワー(『Dwight David ~』;1890‐1969;米国の将軍・政治家,34代大統領(1953‐61))
eisteddfod	ウェールズの歌唱祭
either	(二つのうちの)『どちらかの』;どちらでも,どちらの…も / (2者のうちの)『どちらか一方』;『どちらでも』 / …『か』…『か』(どちらか);…『も』…『も』(どちらも) / …『もまた』[…ない],…と同じ程度に[…ない]
either-or	(二者択一して)あれかこれか
ejaculate	…‘を'急に叫ぶ,不意に言い出す / 〈液〉‘を'射出する
ejaculation	急に叫ぶこと,絶叫 / (液などの)射出;射精
eject	(…から)〈人〉‘を'追い出す,追放する《+『名』+『from』+『名』》 / (…から)…‘を'噴出する,排出する,放出する《+『名』+『from』+『名』》
ejection	〈U〉追い出し;追放;排斥 / 〈U〉噴出;排せつ;〈C〉噴出物
ejection seat	(パイロットの緊急脱出の)射出座席(《英》ejector seat)
ejector	射出装置,放出(排出)器
eke	(…で)…‘の'不足を補う《+『out』+『名』+『by』(『with』)+『名』(do『ing』)》 / また(also)
ekistics	生活都市計画学
el	=ell / 《米話》高架鉄道(elevated railroad)
El Dorado	エルドラド(昔スペイン人が南米アマゾン河畔にあると想像した黄金郷) / (一般に)黄金郷
El Greco	エルグレコ(1541‐1614;クレタ島生まれのスペインの画家)
El Paso	エルパソ(テキサス州西部の都市)
El Salvador	エルサルバドル(中米西部の共和国;首都San Salvador)
elaborate	『入念な』,手の込んだ / …‘を'念入りに仕上げる,練り上げる / (…について)詳細に述べる《+『on』(『upon, about』)+『名』(do『ing』)》
elaboration	〈U〉(…を)念入りに作り上げる(仕上げる)こと《+『of』+『名』》 / 〈C〉念入りに作り上げたもの,労作
elan	熱意;気力
eland	オオカモシカ(アフリカ産のカモシカ)
elapse	〈時が〉経過する,たつ(pass)
elastic	『弾力のある』,伸縮自在の / 融通性のある / ゴムひも;ゴムひもで作った物,靴下留め,ズボンつり
elastic band	=rubber band
elasticity	弾力,弾性;伸縮自在;融通性
Elastoplast	ばんそうこうの一種の商標名
elate	《受動態で》…‘を'元気をつける,意気を高揚させる
elated	得意の,意気揚々とした
elation	得意,意気揚々
Elbe	エルベ川(北海に注ぐドイツの川)
elbow	『ひじ』 / ひじ形(L字形)のもの;ひじ形の屈曲;(管の)ひじ形継ぎ手;(いすの)ひじ掛け / …‘を'『ひじで押す』(『突く』);(…から)…‘を'ひじで押し出す《+『名』+『out of』+『名』》
elbow grease	力仕事
elbowroom	自由に身動き(行動)できる空間(余裕)
elder	《おもに英》『年上の』,年長の / 上位の,上級の / 『年長者』,先輩 / 《通例the~》(部族・社会の)長老,元老 / (長老教会の)長老 / ニワトコ(白い花と赤・黒の実をつける低木)
elder statesman	(政界の)長老
elderberry	アメリカニワトコの実 / =elder
elderflower	西洋ニワトコの花
elderly	かなり年配の,初老の
eldest	『最も年上の』
elec.	electric / electrical / electricity
elect	(投票で)〈議長・議員など〉‘を'『選ぶ』,『選挙する』 / 《文》…‘を'選択する;(…すること)‘に'決定する(decide)《+『to』 do》 / 《通例‐electの形で名詞に付けて》(まだ就任していないが)選挙された,当選した / 選ばれた / 《the~》選ばれるに値する人たち,エリート / 《時にthe~》選ばれた者,選民
election	『選挙』 / 当選
Election Day	選挙日(特に11月第1月曜日の翌日の火曜日の大統領選挙人を選ぶ日)
electioneer	選挙運動をする
electioneering	(戸別訪問・演説などの)選挙運動
elective	選挙で選ばれた,選挙による / 選択の(=optional) / 選択科目
elector	選挙人,有権者 / 大統領および副大統領選挙人
electoral	選挙[人]の;選挙人から成る
electoral college	(大統領および副大統領を選挙する)選挙人団
electoral roll	選挙人名簿
electorate	選挙民,有権者
Electra complex	エレクトラコンプレックス(娘が父親に抱く無意識の性的欲望)
electric	《名詞の前にのみ用いて》『電気の』;電気が引き起こす / 《名詞の前にのみ用いて》電気で動く,電動の;電気を起こす,発電の / 興奮させる,はらはら(ぞくぞく)させる
electric blanket	電気毛布
electric chair	(死刑用の)電気いす
electric charge	電荷,充電
electric current	電流
electric discharge	放電
electric eel	デンキウナギ
electric eye	光電管
electric fence	電流を通した鉄条網
electric field	電界,電磁場
electric furnace	電気炉
electric guitar	エレキ(電気)ギター
electric heater	電気ストーブ
electric shock	感電,電撃
electric shock therapy	(精神病の)電気ショック療法
electrical	電気と関係のある / 電気を扱う
electrical engineering	電気工学
electrical storm	雷雨
electrician	電気技師,電気工
electricity	『電気』;電流 / 電気学 / 極度の緊張(興奮)
electrification	帯電;充電;感電 / (鉄道などの)電化
electrify	…‘に'電気を流す,‘を'感電させる / …‘を'電化する / …‘に'衝撃を与える,‘を'あっと言わせる
electro analysis	電気分析
electrocardiogram	心電図(《略》『ECG』,『EKG』)
electrocardiograph	心電計
electrochemistry	電気化学
electrocute	…‘を'電気死刑に処する;感電死させる
electrocution	電気死刑;感電死
electrode	電極
electrodynamic	電気力の;電気力学の
electrodynamics	電気力学
electroencephalogram	脳電気図,脳波図
electroencephalograph	脳波計
electrolysis	電気分解,電解 / 電気分解法(腫瘍・毛根などを電気で破壊すること)
electrolyte	電解液;電解質
electrolytic	電気分解の / 電解質の
electrolyze,electrolyse	…‘を'電気分解する
electromagnet	電磁石
electromagnetic	電磁石の;電磁気の
electromagnetic wave	電磁波
electromagnetism	電磁気;電磁気学
electrometer	電位計
electromotive	電動の,起電の
electromotive force	起電力,動電力
electron	『電子』,エレクトロン
electron microscope	電子顕微鏡
electron tube	=vacuum tube
electron volt	電子ボルト(《略》Ev,ev)
electronic	『電子の』,エレクトロンの
electronic music	電子音楽
electronic surveillance	盗聴器などによる秘密の監視
electronics	電子工学
electroplate	…‘に'(通例銀の)電気めっきをする
electroshock	電気ショック療法
electrostatic	静電気の
electrostatics	静電学
electrotherapy	電気療法
electrotype	電気版 / …の電気版を作る
eleemosynary	施し物の,慈善による
elegance	優美,上品,気品
elegant	(人・服装・デザインなどが)『優雅な』,上品な;(趣味・習慣などが)『風雅な』,高雅な / みごとな,すばらしい;要を得た,的確な
elegiac,elegiacal	(人が)挽歌(ばんか)形式の詩を書く(書いた);(詩が)挽歌形式で書かれた / 哀愁を帯びた
elegy	エレジー,哀歌,挽歌(ばんか);哀歌調の詩
elem.	element / elementary
element	〈C〉(物質を構成する)元素 / 〈C〉《修飾語[句]を伴って》(…の)(基本的な)『要素』,『成分』;《しばしば複数形で》構成分子 / 〈C〉(生物に固有の)生息場所,環境;(人の)適所,本領 / 〈C〉《古》四大(しだい)[元素](自然界の基本的構成要素と考えられていた地(earth)・水(water)・風(air)・火(fire)の4大要素の一つ) / 《the elements》(雨・風・雪などの)自然力・風雨,(特に)悪天候 / 《the elements》(学問の)原理,初歩,概論
elemental	『自然の力による』,自然の / (感情などが)自然の,抑制されない / 『基本的成分の』,要素の / 《古》四大(element)の
elementary	『初歩の』,基礎の
elementary particle	素粒子
elementary school	小学校
elephant	『ゾウ』 / (共和党の象徴としての)象
elephantiasis	象皮病(皮膚や肉が厚くなる熱帯病)
elephantine	象の / 象のように巨大な;のっそりした
elev.	elevation
elevate	(ある高さに)…‘を'『上げる』,‘の'程度を高める《『名』+『to』+『名』》 / (知的・精神的に)…‘を'向上させる,高める / (…から…に)〈人〉‘を'昇進させる《+『from』+『名』+『to』+『名』》
elevated	『高く上げられた』,高い / (思想などが)高尚な,気品のある / 高架鉄道
elevated railway	高架鉄道
elevation	〈U〉〈C〉《文》(…を…に)『高めること』,昇進(向上)させること《+『of』+『名』+『to』+『名』》 / 〈U〉《文》気高さ,高尚 / 〈C〉《文》隆起したところ;高地 / 《単数形で》(地表・海面からの)『高さ』;地上,海抜 / 〈C〉(建物などの)立面図,正面図 / 《単数形で》仰角
Elevation of the Host	聖体奉挙(パンとぶどう酒を高くかかげるローマカトリック教会のミサの儀礼)
elevator	《米》『エレベーター』,昇降機(《英》lift) / (揚げ下ろしの設備のある)穀物倉庫 / (飛行機の)昇降舵(だ)
eleven	〈C〉(数の)『11』;11を表す記号(11,XIなど) / 〈U〉11時;11歳 / 〈U〉《複数扱い》11人,11個 / 〈U〉《単数扱い》(フットボールのチームなどの)11人(11個)一組 / 『11の』,11人の,11個の / 《補語にのみ用いて》11歳の
eleven-plus	11歳児進学試験(この試験の結果でgrammar schoolに進学するかsecondary modern schoolに進学するかを決める)
elevenses	(朝の)11時ごろにとる茶菓子(軽食)
eleventh	〈U〉《通例the ~》『第11番目』;(月の)11日 / 〈C〉11分の1 / 〈U〉《通例the ~》『第11番』[『目』]『の』 / 11分の1の
elf	小妖精
elfin	小妖精の / 小妖精のような
elfish	小妖精のような;いたずらっぽい
elhi	小中高校の(elementary and high schoolの略)
elicit	(…から)〈事・動作など〉‘を'引き出す,誘い出す《+『名』+『from』+『名』》
elicitation	(事実・返事などを)引き出すこと
elicitor	引き出す人
elide	〈子音・母音・音節〉‘を'省いて発音する / …‘を'省略する,削除する
eligibility	適任,適格 / 被選挙資格
eligible	適格な,適任の,選ばれる資格のある / 有資格者,適格者
eligibly	選ばれるように,最適に
Elijah	(聖書で)エリヤ(紀元前9世紀ごろのヘブライの預言者)
eliminate	(…から)…‘を'『取り除く』,削除する(get rid of)《+『名』+『from』+『名』》 / …‘を'考慮に入れない,無視する(disregard)
elimination	(…の)除去,削除《+『of』+『名』》 / (競技の)予選
elite, élite	《the ~》《複数扱い》えり扱きの人々,エリート,精鋭 / 〈U〉エリート活字
elitism	エリート(精鋭)主義 / エリート意識
elitist, élitist	エリート[の一人]
elixir	錬金薬液(卑金属を金に変えると信じられた) / 万能薬
Elizabeth	《~ I》エリザベス1世(1533‐1603;在位1558‐1603) / 《~ II》現英国女王エリザベス2世(1926‐;在位1952‐)
Elizabethan	エリザベス朝の;エリザベス1世の / エリザベス女王時代の人;(特に)当時の文人
elk	ヘラジカ(北米・北欧・アジア産のオオジカ)
elkhound	エルクハウンド(ノルウェー産シカ狩り用猟犬)
ell	(建物の端の)『L』字形延長部 / エル(昔の長さの単位で英国では45インチ)
ellipse	長円,楕円(だえん)
ellipsis	省略[部分];省略記号
ellipsoid	楕円(だえん)面,長円面
elliptic	=elliptical
elliptical	長円の / 省略の
elm	〈C〉ニレ / 〈U〉ニレ材
elocution	演説法,(特に公の場での)優れた話術
elocutionary	演説法の,雄弁術の;発声法に関する
elocutionist	雄弁家;(専門の)朗唱家
elongate	〈物〉‘を'長くする,伸ばす
elongation	〈U〉伸長,延長 / 〈C〉伸長部,延長部
elope	(…と)駆け落ちする《+『with』+『名』》
elopement	駆け落ち;家出;失踪(そう)
eloquence	『雄弁』,能弁;(優れた)演説法
eloquent	(人が)『雄弁な』;(演説が)強く訴える / (目などが)表情豊かな;(…を)如実に物語る《+『of』+『名』》
else	『そのほかに』,それ以外に / 《or elseの形をとり接続詞的に》『さもないと』,そうでないと(otherwise)
elsewhere	『どこかよそに』,ほかの所で(somewhere else)
elucidate	〈不明な点など〉‘を'明らかにする,解明する
elucidation	説明,解明
elucidatory	物事を明らかにする,説明的な
elude	(うまく身をかわして)…‘を'逃れる,避ける(evade) / 〈意味などが〉〈人〉‘に'理解できない;〈名前などが〉〈人〉に思い出せない
elusion	回避(逃避)すること
elusive	(うまく)逃げる,捕まえにくい / 理解しにくい,説明しにくい
elver	シラスウナギ(ウナギの幼魚)
elves	elfの複数形
elvish	=elfish
Elysian	極楽の
Elysium	〈U〉(古代ギリシア人が想像した,死者のための)極楽 / 〈C〉《文》至福の地,桃源郷
EM	enlisted man下士官兵
emaciate	…‘を'やせ衰えさせる,やつれさせる
emaciated	やせ衰えた,やつれた;(…で)やせ衰えた《+『from』+『名』》
emanate	〈命令・考え・提案・におい・音などが〉(…から)出る,発する《+『from』+『名』》
emanation	〈U〉発散,放射 / 〈C〉発散物
emancipate	(…から)…‘を'解放する,自由にする《+『from』+『名』(do『ing』)》
emancipation	(…の)解放;(…を)解放すること《+『of』+『名』》
emancipator	解放者
emasculate	…‘を'去勢する / …‘を'無力にする / 去勢された,骨抜きの
emasculation	去勢 / 骨抜き,無力化
embalm	〈死体〉‘に'防腐処置を施す / 《比喩的に》…‘を'記憶に留める
embalmer	(死体の)防腐処置人
embankment	〈C〉堤防,土手 / 〈U〉堤防を築くこと
embargo	(政府による)船の出(入)港禁止 / 通商禁止 / 〈船〉‘の'出(入)港を禁止する / 〈商品〉‘の'輸出入を禁止する / 〈船舶・貨物〉‘を'徴用する
embark	〈人が〉乗船する;《おもに米》飛行機に乗る / 〈客・荷〉‘を'(飛行機)に載せる
embarkation	乗船,塔乗(とうじょう) / (…への)船出;(…の)着手《+『on』(『upon』)+『名』》
embarrass	〈人〉‘の'『まごつかせる』,困惑させる,きまり悪がらせる / …‘を'『じゃまする』,妨げる / 〈人・会社など〉‘を'『財政困難にする』
embarrassing	(人を)まごつかせる,困惑させる,きまり悪がらせる
embarrassment	〈U〉困惑,当惑;きまりの悪さ / 〈U〉〈C〉財政困難 / 〈C〉じゃま者,妨害物
embassy	〈C〉『大使館』 / 〈U〉大使の任務(職) / 〈C〉《集合的に》大使館員 / 〈C〉使節団
embattled	戦闘態勢を整えた
embed	(コンクリートなどに)…‘を'埋める,はめ込む《+『名』+『in』+『名』》;(…を)…‘に'埋める《+『名』+『with』+『名』》 / (心などに)…‘を'深くとどめる《+『名』+『in』+『名』》
embellish	(…で)…‘を'飾る《+『名』+『with』+『名』》 / (…で)〈物語など〉‘に'尾ひれをつける《+『名』+『with』+『名』》
embellishment	装飾;潤色 / 飾り
ember	燃えさし
ember day	四季の斎日(1年に4回三日間ずつ行う教会での祈りと断食の日)
embezzle	〈公金など〉‘を'着服する,使い込む
embezzlement	(金などの)使いこみ,横領,着服
embezzler	横領者
embitter	〈人〉‘に'つらい思いをさせる,‘を'悲しませる
emblazon	(紋章などで)…‘を'飾る / …‘を'ほめそやす
emblem	『象徴』(symbol)
emblematic	象徴の,象徴的や;(…を)象徴する《+『of』+『名』》
embodiment	(…の)具体化されたもの,化身(けしん),権化(ごんげ)《+『of』+『名』》
embody	〈思想・感情など〉‘を'『具体化する』 / (ある形態の中に)…‘を'まとめる,包含する
embolden	(…するよう)〈人〉‘を'励ます,勇気づける《+『名』+『to』 do》
embolism	塞栓(そくせん)症(血管に塞栓が詰まること)
embonpoint	(特に女性の)肥満
embosom	《文》…‘を'心に抱く / 《詩》《通例受動態で》…‘を'囲む,包む
embosomed	囲まれた,包まれた
emboss	(生地・紙などに)〈模様・図案など〉‘を'浮き彫りにする《+『名』+『on』+『名』》;(模様・図案などを)〈生地・紙など〉‘に'浮き彫りにする《+『名』+『with』+『名』》
embouchure	〈C〉(吹奏楽器の)吹口(すいこう) / 〈U〉(吹口への)くちびるの当て方
embower	〈家など〉‘を'樹木(茂み)で囲む
embowered	(樹木などで)囲まれた,おおわれた
embrace	(愛情の表れとして)…‘を'『抱きしめる』,抱擁する / 《文》〈物が〉…‘を'取り巻く,囲む(surround) / 《文》〈機会など〉‘を'捕らえる,〈申し出など〉‘を'喜んで受ける / …‘を'含む / 『抱き合う』 / 『抱擁』,抱き合い
embraceable	包容(容認)できる
embrasure	(城壁の)銃眼 / (戸口・窓の周囲の)朝顔形
embrocate	〈ローション・塗り薬を〉…‘に'塗る,すりこむ
embrocation	〈U〉(ローション・塗り薬などを)すりこむこと,塗布すること / 〈C〉塗り薬
embroider	(生地などに)〈模様など〉‘を'『ししゅうする』《+『名』+『on』+『名』》;(模様などを)〈生地など〉‘に'ししゅうする《+『名』+『with』+『名』》 / 〈物語など〉‘を'潤色する,‘に'尾ひれをつける / ししゅうをする
embroidery	ししょう / (話などの)潤色
embroil	(口論などに)〈人〉‘を'巻き込む《+『名』+『in』+『名』》 / …‘を'混乱させる
embryo	胎児 / 発達の初期 / 胎児の,胚の / 未発達の,初期の
embryol.	=embryology
embryology	胎生学,発生学
embryonic	=embryo
emcee	=master of ceremonies / …‘の'司会をする / 司会をする
emend	〈原稿〉‘を'校正する,‘の'誤りを正す
emendation	〈U〉(…の)校正《+『of』+『名』》 / 〈C〉《しばしば複数形で》訂正[箇所]
emerald	〈C〉エメラルド(濃緑色の宝石) / 〈U〉エメラルド色,鮮緑色
emerge	(水中・暗やみなどから)『出てくる』,現れる(appear)《+『from』(『out of』)+『名』》 / 〈問題・事実などが〉出てくる / (逆境などから)浮かび上がる《+『from』+『名』》
emergence	出現
emergency	『非常の場合』,緊急の場合
emergent	見えてくる,現れる
emeritus	名誉退職の
Emerson	エマソン(『Ralph Waldo ~』;1803‐1882;米国の思想家・詩人)
emery	金剛砂,エメリー(研磨剤に用いる粒状鉱石)
emetic	催吐剤 / 吐き気を催させる,催吐性の
emigrant	(他国への)『移民』,移住者 / 他国へ移住する,移民の
emigre,émigré	(特に政治的な)亡命者
emigrate	(自国から他国へ)移住する《+『from』+『名』+『to』+『名』》
emigration	(他国への)移住,移住 / 《集合的に》移民,移民団
eminence	〈U〉(地位・名声などの)高いこと;高貴,高名,傑出 / 〈C〉《文》高所,高台,高地 / 〈C〉《Eminence》(カトリック教会で)台下(枢機卿の尊称)
eminent	(地位・身分が)『高い』;著名な;(業績が)『傑作した』
eminent domain	[土地]収用権(国が公共のために私有財産を買い上げること)
eminently	高く;著しく,顕著に
emir	(アラビアの)首長,王族 / エミール(マホメットの子孫の尊称)
emirate	アラビアの首長の権限(身分)
emissary	密使,密偵
emission	〈U〉〈C〉(光・熱・液体などの)放射,放出 / 〈C〉放射物,放出物
emission control	(車・工場からの)排気ガス規制
emissive	放射性の;放射の
emit	〈水・熱・光・音・声など〉‘を'『出す』,『発する』
emitter	放射体 / エミッタ(トランジスターの電極)
Emmentaler,Emmenthaler	スイスチーズ(ナッツの風味があり穴が多い)
emollient	(医薬品などが皮膚を)軟化する,荒れ止めの / (荒れ止めクリームなどの)軟化剤
emolument	俸給,報酬,手当
emote	(芝居・映画のように)大げさに感情を表現する
emotion	『強い感情』,感動,感激 / (喜怒哀楽などの)『感情』,情緒
emotional	『感情の』,情緒の / 『感情的な』,感動しやすい / (またemotive)感情に訴える
emotionalism	感情に送りやすい傾向 / 感情に訴えること
emotionally	感情的に,情緒的に;感情に訴えて
emotive	感動的な,情緒的な
Emp.	Emperor / Empire / Empress
empanel,impanel	〈人名〉‘を'陪審名簿に載せる / 〈陪審員〉‘を'陪審名簿から選ぶ
empathize	(…に)感情移入する《+『with』+『名』》
empathy	(心理学で)感情移入,共感
empennage	(飛行機・飛行船の)尾部
emperor	皇帝;(日本の)天皇
emphasis	(…に対する)『強調』,重要視《+『on』(『upon』)+『名』》 / (音節・語・句などに置く)強勢,強調
emphasize,emphasise	…‘を'『強調する』,重要視する
emphatic	(言動などが)断固たる,強い調子の / 際だった,目立つ / (音節・句などが)強勢のある,強調された
emphatically	断固として / 目立って;強調して
emphysema	気腫(きしゅ),肺気腫
empire	〈C〉『帝国』 / 〈U〉帝権,絶対支配力 / 〈C〉(強大な社会・経済組織としての)…帝国 / 《『the E-』》ナポレオンの帝政期(1804‐15)
Empire State	ニューヨーク州の別名
Empire State Building	エンパイア・ステートビル(ニューヨーク市にある102階の高層ビル)
empirical	経験を基礎とする,実験に基づいた
empiricism	経験論(知識は経験に基づくという理論)
emplacement	(重砲の)砲床,砲座
emplane	=enplane
employ	《しばしば受動態で》(…として)〈人〉‘を'『雇う』(hire)《+『名』+『as』+『名』》 / 《文》(…として)〈物・能力など〉‘を'『使う』(use)《+『名』+『as』+『名』》 / 《文》(…に)〈時間・精力など〉‘を'『費やす』,〈自分〉‘の'身をささげる《+『名』+『in』(『for, on』)+『名』(do『ing』)》 / (…の)雇用《+『of』+『名』》
employable	(人を)雇用できる;(物が)使用できる
employee,employe	『雇い人』,従業員
employer	『雇い主』,雇用者
employment	〈U〉(人の)『雇用』 / 〈U〉(物・能力・時間の)使用《+『of』+『名』》 / 〈U〉〈C〉『職』,職業,仕事
employment exchange	(英国の,政府による)職業安定所
emporium	商業の中心地,市場 / 大商店
empower	〈人など〉‘に'(…する)能力(権限)を付与する《+『名』+『to』 do》
empress	『女帝』;皇后
emptily	むなしく
emptiness	からっぽ;空虚;無意味
empty	『からの』,中に何もない(だれも居ない) / 『空虚な』,なんの意味もない / 《話》腹ぺこの / 〈容器など〉‘を'『空にする』 / (容器などから)〈中身〉‘を'出して空にする《+『名』+『out of』+『名』》;(…に)〈中身〉‘を'全部出す《+『名』+『into』(『onto』)+『名』》 / 『空になる』;(…に)全部出て空になる《+『into』+『名』》 / 空き箱,空きびん
empty nester	子供のいない(子供と別居している)老夫婦
empty set	=null set
empty-handed	空手で,手ぶらで
empty-headed	頭が空っぽの
empurpled	紫色をした
empyrean	最高天(古代天文学で五天のうちで最高の天上界) / 天空,大空 / 最高天の;天空の
emu	エミュー(ダチョウに似たオーストラリア産の翼のない大鳥)
EMU	electromagnetic unit電磁単位
emulate	…‘と'張り合う,‘に'負けまいとする / …‘を'手本とする,見習う
emulation	張り合うこと,競争 / 見習うこと,模範とすること
emulator	競争者; 見習う人; エミュレータ (ある機種用のプログラムを別の機種に解読・実行させるためのハードウェアやソフトウェア)
emulous	競い合う,競争心の強い;(…を得ようと)競い合う《+『of』+『名』》
emulsify	…‘を'乳状(乳剤)にする
emulsion	乳状液,乳剤 / (写真の)感光乳剤
emulsive	乳剤質の,乳濁性の
en bloc	一括して,全体として(as a whole)
en masse	いっしょに,一団となって
en passant	途中で,ついでに
en route	(…への)途中で;(…の)途上で(on the way)《+『to』(『for』)+『名』》
enable	《『enable』+『名』+『to』 do》〈物事が〉(…することを)…‘に'可能(容易)にする,…‘に'(…する)能力(資格)を与える / 〈物事〉‘を'可能にする,容易にする
enabling	(制定法などが)権能付与的な,授権する
enact	〈法律〉‘を'制定する;…‘を'法令(条令)化する / (弓など)‘を'演じる;…‘の'役を演じる
enactment	〈U〉立法 / 〈C〉法令,条令 / 〈U〉(劇などの)上演
enamel	〈U〉〈C〉エナメル,ほうろう / 〈C〉ほうろう細工,ほうろう鉄器 / 〈U〉〈C〉エナメル,光沢塗料 / 〈U〉(歯の)ほうろう質 / …‘に'エナメルをかける,ほうろう引きする;〈皮・布など〉‘に'つや出しする
enamelware	エナメル容器,ほうろう鉄器
enamelwork	エナメル細工,ほうろう細工
enamored,enamoured	(…に)夢中の,心を奪われた《+『of』(『with』)+『名』》
enc.	enclosed / enclosure
encamp	〈兵士・部隊など〉‘を'野営させる / (テントで)〈部隊などが〉野営する
encampment	〈U〉野営[すること] / 〈C〉野営地
encapsulate	…‘を'カプセルに入れる / 〈事実など〉‘を'矮(わい)小化する
encase	(箱・袋などに)…‘を'入れる,包む《+『名』+『in』+『名』》
encaustic	(れんが・タイルなどが)ろう画の,ろう焼き付けした
encephalitis	脳炎
encephalon	(医学用語で)脳(brain)
enchain	…‘を'(鎖で)つなぐ / 〈注意・感情など〉‘を'引き付けておく
enchant	…‘に'『魔法をかける』 / …‘を'『うっとりさせる』,魅惑する(charm)
enchanter	魔法使い / 魅力的な人
enchanting	魅惑的な,うっとりさせる
enchantment	〈U〉〈C〉魔法にかけること;魅惑すること / 〈U〉〈C〉魔法にかかった(魅惑された)状態 / 〈U〉〈C〉うっとりさせた状態 / 〈C〉うっとりさせるもの,魅力あるもの
enchantress	魔女 / 魅力的な女
